symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,cumulative_pnl,cum_max,drawdown,r_multiple
ADSK,1993-06-25,1993-07-12,53.75,46.12,1,-14.19,-1.42,-14.19,-14.19,0.0,-2.64
ADBE,1993-06-25,1993-07-29,64.42,49.8,1,-22.7,-2.27,-36.89,-14.19,-22.700000000000003,-3.5237503880782364
ADSK,1993-07-13,1993-11-05,48.25,38.28,2,-20.66,-2.07,-57.55,-14.19,-43.36,-2.1409326424870465
ADBE,1993-10-29,1994-03-28,20.98,25.55,4,21.76,2.18,-35.78999999999999,-14.19,-21.599999999999994,2.5929456625357483
AAPL,1993-11-02,1994-04-19,31.25,28.88,3,-7.58,-0.76,-43.36999999999999,-14.19,-29.179999999999993,-0.8085333333333333
ADSK,1993-12-28,1994-10-31,45.25,37.97,2,-16.09,-1.61,-59.459999999999994,-14.19,-45.269999999999996,-1.7779005524861877
ADBE,1994-06-07,1994-12-27,27.89,28.51,3,2.21,0.22,-57.24999999999999,-14.19,-43.059999999999995,0.26413290307159076
AAPL,1994-08-02,1995-03-14,33.5,36.04,2,7.6,0.76,-49.64999999999999,-14.19,-35.459999999999994,1.1343283582089552
ADBE,1995-02-22,1995-08-30,35.29,49.24,2,39.51,3.95,-10.139999999999993,-10.139999999999993,0.0,5.5979030886936805
AAPL,1995-05-09,1995-09-15,40.62,37.59,2,-7.46,-0.75,-17.599999999999994,-10.139999999999993,-7.460000000000001,-0.9182668636139832
ADSK,1994-11-01,1995-10-04,34.25,39.75,2,16.06,1.61,-1.5399999999999956,-1.5399999999999956,0.0,2.3445255474452553
AAPL,1995-11-21,1995-12-18,38.75,31.92,2,-17.64,-1.76,-19.179999999999996,-1.5399999999999956,-17.64,-2.2761290322580647
ADP,1993-08-25,1996-01-02,48.88,45.41,2,-7.1,-0.71,-26.279999999999994,-1.5399999999999956,-24.74,-0.7262684124386252
ADBE,1995-11-03,1996-01-05,60.96,47.91,1,-21.41,-2.14,-47.69,-1.5399999999999956,-46.150000000000006,-3.5121391076115485
ADSK,1995-12-14,1996-01-10,38.5,31.08,2,-19.28,-1.93,-66.97,-1.5399999999999956,-65.43,-2.503896103896104
ADBE,1996-01-09,1996-02-01,40.85,30.91,2,-24.32,-2.43,-91.28999999999999,-1.5399999999999956,-89.75,-2.9767441860465116
AAPL,1995-12-19,1996-03-01,32.75,26.63,3,-18.69,-1.87,-109.97999999999999,-1.5399999999999956,-108.44,-1.9022900763358779
ADBE,1996-04-26,1996-06-06,42.45,34.99,2,-17.59,-1.76,-127.57,-1.5399999999999956,-126.03,-2.071849234393404
