Date,Open,High,Low,Close,AdjClose,Volume
2020-04-03,25.0,27.0,23.0,23.2,23.2,1915000
2020-04-06,24.69,26.14,23.5,24.39,24.39,213100
2020-04-07,24.76,25.33,22.0,23.75,23.75,289800
2020-04-08,23.99,26.49,23.25,24.8,24.8,274400
2020-04-09,25.25,26.34,24.25,24.31,24.31,69700
2020-04-13,24.5,25.1,23.81,23.9,23.9,88700
2020-04-14,24.04,26.39,23.28,25.12,25.12,238200
2020-04-15,24.89,25.84,23.9,24.48,24.48,205500
2020-04-16,24.48,25.837,24.0,24.38,24.38,131000
2020-04-17,24.4,25.438,24.125,24.56,24.56,264300
2020-04-20,24.61,25.301,24.035,24.12,24.12,529700
2020-04-21,24.39,25.73,23.5,25.56,25.56,259800
2020-04-22,25.82,27.0,25.0,26.79,26.79,118000
2020-04-23,26.59,29.33,26.019,28.45,28.45,110700
2020-04-24,28.51,30.78,28.3,30.5,30.5,155200
2020-04-27,31.0,32.8,30.695,31.76,31.76,89400
2020-04-28,33.72,35.57,32.17,35.57,35.57,198800
2020-04-29,36.42,37.43,35.3,36.16,36.16,187600
2020-04-30,35.57,36.5,34.28,35.1,35.1,233900
2020-05-01,34.33,35.39,30.77,31.29,31.29,318100
2020-05-04,30.56,31.97,28.011,31.93,31.93,161300
2020-05-05,31.21,34.574,30.28,33.26,33.26,192100
2020-05-06,33.63,33.63,31.26,32.98,32.98,230100
2020-05-07,32.98,34.31,31.5,31.93,31.93,253500
2020-05-08,32.15,33.816,31.815,33.27,33.27,127200
2020-05-11,32.63,38.03,32.63,34.5,34.5,325600
2020-05-12,34.7,37.125,34.55,35.64,35.64,172300
2020-05-13,36.07,38.99,34.96,36.5,36.5,274000
2020-05-14,36.87,38.97,35.17,37.96,37.96,139000
2020-05-15,38.18,42.83,35.81,35.87,35.87,171300
2020-05-18,37.5,40.445,36.4,39.65,39.65,116100
2020-05-19,39.53,44.8,37.492,44.66,44.66,196800
2020-05-20,45.26,48.61,37.54,41.07,41.07,305800
2020-05-21,41.05,42.45,39.34,40.04,40.04,86900
2020-05-22,40.29,41.38,37.69,39.07,39.07,162400
2020-05-26,40.13,40.88,39.17,39.64,39.64,88700
2020-05-27,39.98,42.38,38.885,41.72,41.72,105700
2020-05-28,41.93,43.09,40.715,41.3,41.3,164000
2020-05-29,41.56,52.43,39.611,52.22,52.22,338300
2020-06-01,52.0,52.429,45.33,49.35,49.35,278800
2020-06-02,48.75,51.94,45.847,51.46,51.46,124800
2020-06-03,51.45,52.08,47.44,50.81,50.81,202200
2020-06-04,49.53,52.99,46.59,48.49,48.49,165500
2020-06-05,48.13,50.15,43.61,45.6,45.6,199100
2020-06-08,45.67,49.96,45.67,47.14,47.14,129800
2020-06-09,48.71,51.51,47.4,49.38,49.38,196700
2020-06-10,49.15,49.75,45.54,45.93,45.93,131200
2020-06-11,45.28,45.575,41.0,41.07,41.07,168200
2020-06-12,41.9,45.016,41.64,41.95,41.95,198100
2020-06-15,41.95,47.62,41.95,46.88,46.88,237400
